lng,lat,date
-94.2394444,34.586111100000004,1/1/2012 0:10
-91.2394444,43.8013889,1/1/2012 0:10
-119.01777779999999,35.3733333,1/1/2012 0:10
-122.0625,48.0152778,1/1/2012 0:11
-81.3933333,30.294444399999996,1/1/2012 0:12
-87.65,41.85,1/1/2012 0:13
-76.9680556,39.373611100000005,1/1/2012 0:15
-111.92888889999999,40.5622222,1/1/2012 0:15
-84.26388890000001,39.26888889999999,1/1/2012 0:15
-111.97027779999999,41.0602778,1/1/2012 0:15
-52.666667000000004,47.55,1/1/2012 0:15
-73.2125,44.4758333,1/1/2012 0:15
-79.7,44.383333,1/1/2012 0:15
-122.29666670000002,40.4483333,1/1/2012 0:15
-81.1875,35.2619444,1/1/2012 0:15
-71.1,42.3875,1/1/2012 0:18
-80.1938889,25.7738889,1/1/2012 0:25
-74.0063889,40.7141667,1/1/2012 0:25
-76.7794444,39.006666700000004,1/1/2012 0:30
-85.7594444,38.2541667,1/1/2012 0:30
-74.0063889,40.7141667,1/1/2012 0:38
-82.45861109999998,27.947222200000002,1/1/2012 0:45
-120.41916670000002,46.4477778,1/1/2012 12:00
-75.83361109999998,39.6066667,1/1/2012 12:03
-111.89027779999999,40.7608333,1/1/2012 12:05
-121.61583329999999,39.140555600000006,1/1/2012 12:08
-79.1425,37.413611100000004,1/1/2012 12:10
-79.9961111,40.4405556,1/1/2012 12:15
-77.86027779999999,40.7933333,1/1/2012 12:20
-122.40666670000002,37.6547222,1/1/2012 15:00
-107.75805559999999,32.2686111,1/1/2012 17:43
-118.3875,33.849166700000005,1/1/2012 18:00
-80.7422222,28.385833299999998,1/1/2012 19:00
-121.49333329999999,38.5816667,1/1/2012 19:20
-149.90027780000003,61.2180556,1/1/2012 19:30
-118.34194440000002,46.0647222,1/1/2012 19:30
-81.4025,40.8758333,1/1/2012 19:50
-81.38027779999999,30.2272222,1/1/2012 1:00
-81.3858333,30.239444399999996,1/1/2012 1:00
-84.5086111,35.8808333,1/1/2012 1:00
-111.1761111,45.7761111,1/1/2012 1:00
-82.6033333,38.1141667,1/1/2012 20:00
-73.5255556,40.7683333,1/1/2012 21:00
-73.5255556,40.7683333,1/1/2012 21:00
-79.9405556,32.655,1/1/2012 22:01
-122.54916670000001,47.235833299999996,1/1/2012 22:45
-95.3630556,29.763055600000005,1/1/2012 23:00
-80.605,28.405555600000003,1/1/2012 2:45
-114.9811111,36.0397222,1/1/2012 8:52
-122.48694440000001,48.7597222,1/1/2013 0:00
-82.7194444,28.243888899999998,1/1/2013 0:00
-77.46055559999999,37.553611100000005,1/1/2013 0:00
-106.6638889,35.2333333,1/1/2013 0:00
-122.675,45.523611100000004,1/1/2013 0:01
-88.82777779999999,30.411111100000003,1/1/2013 0:02
-120.99583329999999,37.639166700000004,1/1/2013 0:04
-122.27166670000001,37.8716667,1/1/2013 0:05
-81.8069444,26.4377778,1/1/2013 0:05
-121.8938889,37.3394444,1/1/2013 0:05
-76.9680556,39.373611100000005,1/1/2013 0:05
-108.5,45.783333299999995,1/1/2013 0:07
-74.8522222,40.10055560000001,1/1/2013 0:07
-102.3672222,31.845555600000004,1/1/2013 0:08
-87.90638890000001,43.038888899999996,1/1/2013 0:10
-75.49722220000001,40.686111100000005,1/1/2013 0:10
-80.0944444,26.933888899999996,1/1/2013 0:10
-121.2897222,37.9577778,1/1/2013 0:10
-82.7197222,28.271388899999998,1/1/2013 0:12
-117.67,35.6225,1/1/2013 0:13
-72.3472222,43.3766667,1/1/2013 0:15
-82.7075,34.8833333,1/1/2013 0:15
-82.69972220000001,27.8425,1/1/2013 0:15
-96.53805559999999,32.639444399999995,1/1/2013 0:15
